Country,Population (millions),Sex ratio (males to females),Population aged 0 to 14 years old (proportion),Population aged 60+ years old (proportion),Population density (per km2),Number of international migrants,International migrants in proportion to population,Total fertility rate (children per women),Under five mortality rate for both sexes (proportion to live births),Life expectancy at birth (years),Population annual rate of increase (proportion),Urban population (proportion),Urban population (growth rate per annum),Rural population (growth rate per annum),GDP (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth
Jordan,11.55,1.065,0.307,0.073,130.1,3457691.0,0.33899999999999997,2.6,0.013300000000000001,78.0,0.004,91.0,0.057999999999999996,-0.023,27134.0,3915.0,0.023
Kazakhstan,20.59,0.95,0.294,0.132,7.6,3732073.0,0.19899999999999998,3.0,0.0079,74.5,0.012,57.4,0.017,0.013999999999999999,148047.0,8904.0,0.073
Kenya,56.43,0.9890000000000001,0.368,0.048,97.2,1050147.0,0.02,3.2,0.040100000000000004,63.8,0.019,27.0,0.044000000000000004,0.021,45406.0,1094.0,0.081
Kiribati,0.13,0.943,0.34700000000000003,0.07200000000000001,185.3,3126.0,0.026000000000000002,3.1,0.053899999999999997,66.6,0.015,54.1,0.035,0.001,155.0,1438.0,-0.011000000000000001
Kosovo,1.68,0.968,0.207,0.14800000000000002,154.5,,,1.5,0.01,78.2,-0.006999999999999999,,,,5339.0,2978.0,0.049
Kuwait,4.93,1.5719999999999998,0.182,0.059000000000000004,276.9,3110159.0,0.728,1.5,0.0076,80.6,0.02,100.0,0.054000000000000006,0.0,115416.0,39212.0,-0.024
Kyrgyzstan,7.19,0.978,0.32299999999999995,0.095,37.5,199011.0,0.031,2.8,0.0146,71.8,0.015,36.4,0.018000000000000002,0.013999999999999999,4794.0,874.0,-0.005
LDCÂ§,1188.01,0.986,0.387,0.059000000000000004,59.2,,,3.9,0.0554,66.5,0.023,,,,,,
LLDCs,592.79,0.987,0.384,0.06,18.0,,,3.8,0.052399999999999995,66.8,0.022000000000000002,,,,,,
Laos,7.77,1.01,0.302,0.075,33.7,48731.0,0.006999999999999999,2.4,0.037200000000000004,69.2,0.013000000000000001,35.0,0.032,0.004,7313.0,1157.0,0.081
Latvia,1.87,0.8640000000000001,0.154,0.28800000000000003,30.1,239422.0,0.127,1.3,0.0034,76.3,-0.008,68.1,-0.012,-0.013000000000000001,23964.0,11403.0,-0.045
Lebanon,5.81,0.9470000000000001,0.262,0.147,567.5,1712762.0,0.251,2.2,0.0181,77.9,0.006999999999999999,88.6,0.062,0.047,38444.0,7695.0,0.08
Lesotho,2.34,0.95,0.345,0.057999999999999996,77.0,12060.0,0.006,2.7,0.0692,57.8,0.011000000000000001,28.2,0.028999999999999998,0.006999999999999999,2234.0,1105.0,0.053
Liberia,5.61,0.997,0.395,0.053,58.3,87947.0,0.017,3.9,0.0701,62.3,0.021,51.2,0.034,0.018000000000000002,1292.0,321.0,0.073
Libya,7.38,1.034,0.27399999999999997,0.08199999999999999,4.4,826537.0,0.12,2.3,0.0148,71.1,0.01,80.1,0.005,-0.009000000000000001,75381.0,11611.0,0.05
Liechtenstein,0.04,0.987,0.14300000000000002,0.284,249.2,25877.0,0.679,1.5,0.0064,83.7,0.006999999999999999,14.3,0.005,0.008,5621.0,156462.0,0.07400000000000001
Lithuania,2.86,0.894,0.147,0.27399999999999997,45.7,145184.0,0.053,1.2,0.0038,76.2,-0.005,67.7,-0.011000000000000001,-0.016,37138.0,11831.0,0.017
Luxembourg,0.67,1.013,0.158,0.215,259.9,298062.0,0.47600000000000003,1.4,0.0037,82.4,0.011000000000000001,91.0,0.026000000000000002,-0.009000000000000001,56159.0,110752.0,0.038
Madagascar,31.97,1.006,0.39299999999999996,0.054000000000000006,54.9,35563.0,0.001,3.9,0.0644,63.8,0.024,37.2,0.047,0.017,9983.0,459.0,0.006
Malawi,21.66,0.953,0.40700000000000003,0.04,229.0,191362.0,0.01,3.6,0.038200000000000005,67.6,0.026000000000000002,16.9,0.039,0.027999999999999997,6960.0,473.0,0.069
Malaysia,35.56,1.099,0.218,0.11599999999999999,108.2,3476560.0,0.107,1.5,0.0062,76.8,0.012,76.0,0.027000000000000003,-0.006,255018.0,8880.0,0.07400000000000001
Maldives,0.53,1.626,0.196,0.075,1759.3,70079.0,0.13,1.6,0.0054,81.3,0.004,39.8,0.039,0.021,2588.0,7158.0,0.068
Mali,24.48,1.018,0.461,0.037000000000000005,20.1,485829.0,0.024,5.5,0.0922,60.7,0.028999999999999998,42.4,0.05,0.017,10679.0,688.0,0.109
Malta,0.54,1.079,0.13,0.26,1713.0,114760.0,0.26,1.1,0.0055,83.5,0.012,94.6,0.006,-0.006,9027.0,21557.0,0.055
Marshall Islands,0.04,1.051,0.345,0.077,208.6,3298.0,0.055999999999999994,2.9,0.0272,67.1,-0.034,77.0,0.008,-0.016,160.0,3001.0,0.054000000000000006
Martinique,0.34,0.831,0.149,0.34299999999999997,323.8,68624.0,0.183,2.0,0.0076,82.7,-0.008,89.0,-0.005,-0.003,,,
Mauritania,5.17,0.963,0.42700000000000005,0.051,5.0,182286.0,0.039,4.6,0.0366,68.7,0.027999999999999997,53.7,0.048,0.012,5629.0,1646.0,0.026000000000000002
Mauritius,1.27,0.997,0.14800000000000002,0.19899999999999998,626.2,28893.0,0.023,1.2,0.0134,75.1,-0.002,40.8,-0.001,0.004,10004.0,7795.0,0.044000000000000004
Mayotte,0.33,0.9159999999999999,0.431,0.044000000000000004,870.7,111540.0,0.409,4.6,0.0109,76.2,0.032,46.1,0.02,0.036000000000000004,,,
Mexico,130.86,0.9420000000000001,0.245,0.122,66.8,1197624.0,0.009000000000000001,1.9,0.0125,75.3,0.008,80.2,0.018000000000000002,0.0,1105424.0,9823.0,0.05
Micronesia (Fed. States of),0.11,0.987,0.318,0.09300000000000001,161.7,2832.0,0.025,2.7,0.0223,67.4,0.005,22.7,0.003,0.001,297.0,2760.0,0.023
Moldova,3.04,0.852,0.198,0.23,92.3,104438.0,0.026000000000000002,1.7,0.011800000000000001,71.3,-0.012,42.6,-0.002,0.0,6975.0,1896.0,0.071
Monaco,0.04,0.958,0.135,0.435,25926.8,26601.0,0.6779999999999999,2.1,0.0045,86.5,-0.008,100.0,0.006,0.0,5362.0,161624.0,0.021
Mongolia,3.48,0.9940000000000001,0.322,0.087,2.2,21345.0,0.006999999999999999,2.6,0.011300000000000001,72.0,0.012,68.4,0.021,0.013999999999999999,7189.0,2660.0,0.064
Montenegro,0.64,0.9279999999999999,0.18100000000000002,0.242,46.2,70999.0,0.113,1.8,0.0034,77.3,-0.003,66.8,0.006,-0.008,4139.0,6559.0,0.027000000000000003
Montserrat,0.0,0.992,0.163,0.266,42.6,1379.0,0.276,1.4,0.0062,76.3,-0.006999999999999999,9.1,0.005,0.006999999999999999,56.0,11242.0,-0.069
Morocco,38.08,1.0170000000000001,0.256,0.12300000000000001,85.3,102358.0,0.003,2.2,0.016300000000000002,75.5,0.009000000000000001,62.5,0.024,0.0,96428.0,2970.0,0.051
Mozambique,34.63,0.9420000000000001,0.445,0.040999999999999995,44.0,338850.0,0.011000000000000001,4.7,0.063,63.8,0.028999999999999998,36.0,0.045,0.021,11412.0,495.0,0.067
Myanmar,54.5,0.991,0.243,0.114,83.4,76446.0,0.001,2.1,0.0414,67.1,0.006999999999999999,30.6,0.015,0.006,41445.0,839.0,0.102
Namibia,3.03,0.955,0.37,0.059000000000000004,3.7,109391.0,0.043,3.2,0.0363,67.5,0.021,50.0,0.046,0.003,11446.0,5452.0,0.06
Nauru,0.01,1.037,0.37799999999999995,0.051,597.3,2201.0,0.203,3.3,0.0253,62.3,0.006999999999999999,100.0,0.023,0.0,59.0,5788.0,0.087
