Country,Population (millions),Country,Sex ratio (males to females),Country,Sex ratio (males to females),Country,Population aged 60+ years old (proportion),Country,Population density (per km2)
Sao Tome and Principe,0.24,Sao Tome and Principe,0.988,Sao Tome and Principe,0.988,Sao Tome and Principe,0.061,Sao Tome and Principe,245.4
Saudi Arabia,33.96,Saudi Arabia,1.534,Saudi Arabia,1.534,Saudi Arabia,0.052000000000000005,Saudi Arabia,15.8
Senegal,18.5,Senegal,1.034,Senegal,1.034,Senegal,0.055999999999999994,Senegal,96.1
Serbia,6.74,Serbia,0.903,Serbia,0.903,Serbia,0.295,Serbia,87.8
Seychelles,0.13,Seychelles,1.23,Seychelles,1.23,Seychelles,0.132,Seychelles,285.4
Sierra Leone,8.64,Sierra Leone,0.995,Sierra Leone,0.995,Sierra Leone,0.052000000000000005,Sierra Leone,120.5
Singapore,5.83,Singapore,1.069,Singapore,1.069,Singapore,0.191,Singapore,8539.4
Sint Maarten (Dutch part),0.04,Sint Maarten (Dutch part),0.948,Sint Maarten (Dutch part),0.948,Sint Maarten (Dutch part),0.215,Sint Maarten (Dutch part),1275.0
Slovakia,5.51,Slovakia,0.9540000000000001,Slovakia,0.9540000000000001,Slovakia,0.248,Slovakia,112.3
Slovenia,2.12,Slovenia,1.01,Slovenia,1.01,Slovenia,0.28600000000000003,Slovenia,105.2
Solomon Islands,0.82,Solomon Islands,1.046,Solomon Islands,1.046,Solomon Islands,0.057,Solomon Islands,28.4
Somalia,19.01,Somalia,1.004,Somalia,1.004,Somalia,0.040999999999999995,Somalia,30.3
South Africa,64.01,South Africa,0.948,South Africa,0.948,South Africa,0.102,South Africa,52.4
S. Sudan,11.94,S. Sudan,0.968,S. Sudan,0.968,S. Sudan,0.05,S. Sudan,21.2
Spain,47.91,Spain,0.9640000000000001,Spain,0.9640000000000001,Spain,0.281,Spain,95.4
Sri Lanka,23.1,Sri Lanka,0.937,Sri Lanka,0.937,Sri Lanka,0.172,Sri Lanka,368.4
State of Palestine,5.5,State of Palestine,0.986,State of Palestine,0.986,State of Palestine,0.059000000000000004,State of Palestine,912.9
Sudan,50.45,Sudan,0.983,Sudan,0.983,Sudan,0.053,Sudan,28.6
Suriname,0.63,Suriname,0.998,Suriname,0.998,Suriname,0.122,Suriname,4.1
Sweden,10.61,Sweden,1.015,Sweden,1.015,Sweden,0.264,Sweden,26.0
Switzerland,8.92,Switzerland,0.987,Switzerland,0.987,Switzerland,0.26899999999999996,Switzerland,223.1
Syria,24.67,Syria,1.001,Syria,1.001,Syria,0.07400000000000001,Syria,134.3
Tajikistan,10.59,Tajikistan,0.966,Tajikistan,0.966,Tajikistan,0.067,Tajikistan,74.0
Thailand,71.67,Thailand,0.9490000000000001,Thailand,0.9490000000000001,Thailand,0.22,Thailand,140.3
Timor-Leste,1.4,Timor-Leste,1.0170000000000001,Timor-Leste,1.0170000000000001,Timor-Leste,0.075,Timor-Leste,94.2
Togo,9.52,Togo,1.013,Togo,1.013,Togo,0.052000000000000005,Togo,174.9
Tokelau,0.0,Tokelau,0.958,Tokelau,0.958,Tokelau,0.126,Tokelau,208.9
Tonga,0.1,Tonga,0.895,Tonga,0.895,Tonga,0.09699999999999999,Tonga,160.3
Trinidad and Tobago,1.51,Trinidad and Tobago,0.978,Trinidad and Tobago,0.978,Trinidad and Tobago,0.18600000000000003,Trinidad and Tobago,293.9
Tunisia,12.28,Tunisia,0.977,Tunisia,0.977,Tunisia,0.14400000000000002,Tunisia,79.0
Turkey,87.47,Turkey,0.997,Turkey,0.997,Turkey,0.15,Turkey,113.7
Turkmenistan,7.49,Turkmenistan,0.9640000000000001,Turkmenistan,0.9640000000000001,Turkmenistan,0.079,Turkmenistan,15.9
Turks and Caicos Islands,0.05,Turks and Caicos Islands,1.002,Turks and Caicos Islands,1.002,Turks and Caicos Islands,0.16899999999999998,Turks and Caicos Islands,49.0
Tuvalu,0.01,Tuvalu,1.048,Tuvalu,1.048,Tuvalu,0.111,Tuvalu,321.5
Uganda,50.02,Uganda,0.9840000000000001,Uganda,0.9840000000000001,Uganda,0.035,Uganda,250.3
Ukraine,37.86,Ukraine,0.8690000000000001,Ukraine,0.8690000000000001,Ukraine,0.263,Ukraine,65.4
United Arab Emirates,11.03,United Arab Emirates,1.77,United Arab Emirates,1.77,United Arab Emirates,0.037000000000000005,United Arab Emirates,155.3
United Kingdom,69.14,United Kingdom,0.97,United Kingdom,0.97,United Kingdom,0.255,United Kingdom,284.8
Tanzania,68.56,Tanzania,0.983,Tanzania,0.983,Tanzania,0.045,Tanzania,77.4
United States of America,345.43,United States of America,1.01,United States of America,1.01,United States of America,0.242,United States of America,37.8
United States Virgin Islands,0.08,United States Virgin Islands,0.909,United States Virgin Islands,0.909,United States Virgin Islands,0.305,United States Virgin Islands,242.6
Uruguay,3.39,Uruguay,0.9420000000000001,Uruguay,0.9420000000000001,Uruguay,0.214,Uruguay,19.6
Uzbekistan,36.36,Uzbekistan,1.018,Uzbekistan,1.018,Uzbekistan,0.095,Uzbekistan,85.5
Vanuatu,0.33,Vanuatu,1.0190000000000001,Vanuatu,1.0190000000000001,Vanuatu,0.067,Vanuatu,26.9
Venezuela,28.41,Venezuela,0.976,Venezuela,0.976,Venezuela,0.14300000000000002,Venezuela,31.0
Vietnam,100.99,Vietnam,0.96,Vietnam,0.96,Vietnam,0.139,Vietnam,322.2
Wallis and Futuna Islands,0.01,Wallis and Futuna Islands,0.907,Wallis and Futuna Islands,0.907,Wallis and Futuna Islands,0.207,Wallis and Futuna Islands,80.6
W. Sahara,0.59,W. Sahara,1.228,W. Sahara,1.228,W. Sahara,0.10099999999999999,W. Sahara,2.2
Yemen,40.58,Yemen,1.0270000000000001,Yemen,1.0270000000000001,Yemen,0.04,Yemen,76.9
Zambia,21.32,Zambia,0.98,Zambia,0.98,Zambia,0.033,Zambia,28.7
Zimbabwe,16.63,Zimbabwe,0.9109999999999999,Zimbabwe,0.9109999999999999,Zimbabwe,0.05,Zimbabwe,43.0
LLDCs,592.79,LLDCs,0.987,LLDCs,0.987,LLDCs,0.06,LLDCs,18.0
LDC§,1188.01,LDC§,0.986,LDC§,0.986,LDC§,0.059000000000000004,LDC§,59.2
SIDS,73.46,SIDS,0.998,SIDS,0.998,SIDS,0.138,SIDS,30.8
